iter	Passed	Remaining
0	151	151462
1	155	77691
2	159	53012
3	164	40973
4	168	33435
5	171	28413
6	174	24822
7	178	22191
8	182	20130
9	186	18463
10	190	17085
11	193	15958
12	197	14994
13	201	14161
14	204	13426
15	207	12780
16	212	12268
17	215	11778
18	219	11328
19	222	10913
20	226	10572
21	230	10247
22	233	9938
23	237	9654
24	241	9402
25	245	9181
26	248	8951
27	251	8746
28	255	8550
29	260	8407
30	263	8237
31	266	8073
32	270	7920
33	275	7815
34	279	7699
35	282	7575
36	286	7455
37	290	7356
38	294	7245
39	297	7145
40	301	7044
41	305	6961
42	308	6874
43	312	6789
44	315	6704
45	319	6621
46	323	6559
47	327	6487
48	330	6414
49	333	6343
50	338	6292
51	341	6232
52	345	6168
53	348	6106
54	352	6050
55	356	6003
56	359	5948
57	362	5894
58	366	5843
59	371	5813
60	375	5777
61	378	5731
62	382	5684
63	386	5652
64	390	5616
65	393	5573
66	397	5531
67	400	5494
68	404	5459
69	408	5421
70	411	5383
71	414	5346
72	419	5326
73	423	5296
74	427	5269
75	431	5245
76	436	5229
77	439	5197
78	443	5165
79	446	5134
80	450	5115
81	454	5085
82	457	5055
83	461	5027
84	465	5012
85	469	4990
86	473	4966
87	476	4939
88	479	4912
89	484	4895
90	487	4873
91	491	4849
92	494	4825
93	499	4810
94	503	4793
95	507	4776
96	511	4761
97	516	4751
98	520	4733
99	524	4717
100	528	4702
101	533	4699
102	537	4680
103	540	4660
104	544	4639
105	549	4632
106	553	4619
107	556	4600
108	560	4581
109	565	4576
110	569	4561
111	573	4549
112	577	4531
113	582	4526
114	586	4513
115	590	4500
116	594	4485
117	598	4476
118	603	4465
119	606	4449
120	610	4434
121	615	4426
122	618	4412
123	624	4412
124	628	4402
125	633	4396
126	637	4384
127	643	4382
128	648	4380
129	652	4369
130	656	4358
131	663	4362
132	668	4354
133	672	4345
134	677	4338
135	683	4339
136	686	4326
137	691	4321
138	698	4324
139	702	4312
140	706	4303
141	712	4304
142	716	4296
143	721	4290
144	728	4294
145	732	4284
146	737	4277
147	742	4272
148	746	4263
149	751	4256
150	755	4245
151	760	4241
152	764	4232
153	768	4222
154	774	4220
155	778	4210
156	782	4199
157	784	4180
158	788	4171
159	793	4167
160	797	4157
161	801	4144
162	805	4135
163	809	4128
164	813	4119
165	817	4109
166	824	4114
167	829	4108
168	833	4099
169	839	4097
170	843	4089
171	848	4083
172	852	4077
173	858	4073
174	862	4063
175	866	4054
176	870	4048
177	875	4040
178	878	4029
179	882	4018
180	886	4009
181	889	3998
182	892	3986
183	896	3975
184	899	3963
185	903	3953
186	906	3941
187	909	3930
188	913	3918
189	917	3913
190	924	3914
191	928	3905
192	931	3896
193	936	3891
194	941	3887
195	946	3883
196	954	3890
197	961	3896
198	968	3899
199	974	3898
200	979	3892
201	984	3888
202	988	3880
203	993	3874
204	999	3876
205	1006	3878
206	1012	3879
207	1020	3884
208	1026	3883
209	1033	3889
210	1040	3892
211	1052	3911
212	1058	3910
213	1064	3910
214	1070	3909
215	1075	3904
216	1082	3904
217	1089	3909
218	1096	3909
219	1101	3903
220	1105	3897
221	1110	3892
222	1116	3889
223	1121	3885
224	1126	3878
225	1131	3874
226	1135	3867
227	1140	3860
228	1145	3856
229	1150	3851
230	1155	3846
231	1161	3844
232	1167	3843
233	1171	3835
234	1176	3830
235	1181	3823
236	1185	3815
237	1189	3807
238	1217	3876
239	1230	3895
240	1244	3918
241	1251	3919
242	1275	3973
243	1281	3969
244	1289	3972
245	1297	3977
246	1302	3971
247	1307	3964
248	1312	3958
249	1316	3950
250	1321	3942
251	1326	3938
252	1331	3929
253	1336	3925
254	1342	3923
255	1348	3917
256	1353	3912
257	1359	3910
258	1363	3902
259	1368	3894
260	1374	3891
261	1378	3883
262	1383	3876
263	1388	3870
264	1392	3862
265	1397	3855
266	1400	3846
267	1406	3842
268	1410	3834
269	1414	3824
270	1419	3818
271	1424	3813
272	1429	3806
273	1450	3842
274	1455	3837
275	1459	3828
276	1463	3819
277	1468	3812
278	1473	3807
279	1478	3802
280	1482	3794
281	1488	3789
282	1492	3781
283	1496	3772
284	1501	3766
285	1505	3759
286	1510	3751
287	1515	3746
288	1521	3742
289	1525	3734
290	1529	3727
291	1535	3723
292	1540	3716
293	1544	3708
294	1549	3702
295	1554	3697
296	1559	3691
297	1565	3688
298	1571	3684
299	1576	3677
300	1581	3671
301	1586	3666
302	1591	3659
303	1595	3652
304	1601	3649
305	1606	3643
306	1611	3637
307	1618	3636
308	1623	3631
309	1628	3624
310	1635	3623
311	1641	3619
312	1645	3612
313	1650	3605
314	1654	3598
315	1658	3590
316	1664	3586
317	1669	3579
318	1673	3571
319	1677	3563
320	1681	3556
321	1685	3548
322	1688	3539
323	1692	3532
324	1697	3525
325	1702	3519
326	1705	3510
327	1710	3503
328	1714	3496
329	1717	3487
330	1722	3480
331	1727	3476
332	1732	3469
333	1736	3462
334	1740	3454
335	1745	3448
336	1749	3441
337	1752	3433
338	1756	3425
339	1761	3419
340	1765	3411
341	1769	3403
342	1772	3395
343	1778	3390
344	1782	3383
345	1786	3375
346	1790	3370
347	1795	3363
348	1798	3355
349	1803	3348
350	1807	3341
351	1811	3334
352	1815	3328
353	1819	3320
354	1823	3313
355	1827	3305
356	1830	3297
357	1834	3289
358	1837	3280
359	1841	3273
360	1845	3265
361	1848	3257
362	1851	3249
363	1856	3242
364	1859	3235
365	1862	3227
366	1866	3219
367	1869	3210
368	1874	3204
369	1877	3196
370	1881	3189
371	1884	3181
372	1888	3175
373	1892	3167
374	1895	3159
375	1898	3151
376	1903	3144
377	1907	3138
378	1911	3131
379	1914	3123
380	1917	3115
381	1922	3109
382	1925	3102
383	1929	3094
384	1932	3086
385	1936	3080
386	1940	3074
387	1944	3066
388	1947	3059
389	1951	3052
390	1955	3045
391	1958	3037
392	1962	3030
393	1965	3023
394	1970	3018
395	1974	3011
396	1978	3005
397	1981	2997
398	1986	2992
399	1990	2985
400	1993	2977
401	1996	2970
402	2001	2964
403	2006	2959
404	2009	2952
405	2013	2945
406	2017	2940
407	2021	2932
408	2025	2926
409	2029	2920
410	2034	2915
411	2038	2909
412	2041	2902
413	2045	2894
414	2049	2888
415	2053	2882
416	2056	2875
417	2059	2867
418	2063	2860
419	2067	2854
420	2070	2847
421	2074	2840
422	2077	2833
423	2081	2827
424	2085	2821
425	2088	2814
426	2091	2807
427	2095	2800
428	2100	2795
429	2104	2789
430	2107	2782
431	2110	2775
432	2115	2769
433	2118	2763
434	2122	2756
435	2125	2749
436	2130	2744
437	2133	2737
438	2137	2730
439	2140	2724
440	2143	2717
441	2148	2711
442	2151	2705
443	2155	2698
444	2158	2691
445	2162	2686
446	2166	2679
447	2170	2673
448	2173	2667
449	2177	2661
450	2180	2654
451	2184	2648
452	2187	2641
453	2191	2635
454	2195	2630
455	2199	2624
456	2203	2617
457	2206	2611
458	2211	2606
459	2214	2599
460	2218	2593
461	2221	2586
462	2225	2581
463	2228	2574
464	2232	2568
465	2236	2562
466	2239	2555
467	2243	2550
468	2247	2544
469	2250	2537
470	2254	2531
471	2258	2526
472	2261	2519
473	2264	2513
474	2268	2507
475	2271	2500
476	2276	2495
477	2279	2489
478	2282	2483
479	2286	2476
480	2290	2471
481	2294	2465
482	2297	2459
483	2301	2453
484	2304	2446
485	2308	2441
486	2312	2436
487	2316	2430
488	2319	2423
489	2324	2418
490	2327	2412
491	2330	2406
492	2334	2400
493	2337	2394
494	2342	2389
495	2345	2383
496	2348	2377
497	2352	2371
498	2357	2366
499	2360	2360
500	2363	2354
501	2367	2348
502	2371	2343
503	2375	2337
504	2378	2331
505	2381	2325
506	2385	2319
507	2389	2314
508	2393	2308
509	2396	2302
510	2399	2296
511	2404	2291
512	2408	2286
513	2411	2280
514	2415	2274
515	2419	2269
516	2423	2264
517	2427	2258
518	2431	2253
519	2436	2248
520	2439	2243
521	2443	2237
522	2446	2231
523	2450	2226
524	2454	2220
525	2457	2214
526	2460	2208
527	2464	2203
528	2468	2198
529	2472	2192
530	2475	2186
531	2479	2180
532	2483	2175
533	2486	2170
534	2490	2164
535	2493	2158
536	2496	2152
537	2501	2147
538	2504	2142
539	2508	2136
540	2511	2130
541	2515	2125
542	2519	2120
543	2523	2115
544	2526	2109
545	2530	2104
546	2534	2098
547	2537	2093
548	2541	2087
549	2544	2081
550	2548	2076
551	2552	2071
552	2555	2065
553	2558	2060
554	2562	2054
555	2566	2049
556	2570	2044
557	2573	2038
558	2576	2032
559	2582	2028
560	2585	2023
561	2589	2017
562	2592	2012
563	2597	2008
564	2600	2002
565	2604	1997
566	2607	1991
567	2611	1986
568	2616	1981
569	2619	1976
570	2623	1971
571	2627	1965
572	2631	1960
573	2634	1955
574	2638	1950
575	2641	1944
576	2645	1939
577	2649	1934
578	2653	1929
579	2656	1923
580	2660	1918
581	2664	1913
582	2667	1908
583	2671	1902
584	2674	1897
585	2679	1892
586	2682	1887
587	2686	1882
588	2689	1876
589	2694	1872
590	2698	1867
591	2701	1861
592	2705	1856
593	2709	1851
594	2713	1846
595	2718	1842
596	2721	1837
597	2726	1832
598	2730	1827
599	2734	1823
600	2738	1817
601	2743	1813
602	2747	1808
603	2750	1803
604	2754	1798
605	2759	1794
606	2763	1789
607	2767	1784
608	2771	1779
609	2777	1775
610	2781	1770
611	2786	1766
612	2790	1761
613	2795	1757
614	2799	1752
615	2803	1747
616	2808	1743
617	2813	1739
618	2818	1734
619	2823	1730
620	2828	1726
621	2832	1721
622	2836	1716
623	2841	1712
624	2845	1707
625	2849	1702
626	2853	1697
627	2858	1693
628	2862	1688
629	2866	1683
630	2871	1679
631	2875	1674
632	2880	1669
633	2883	1664
634	2888	1660
635	2892	1655
636	2896	1650
637	2899	1645
638	2905	1641
639	2909	1636
640	2913	1631
641	2917	1626
642	2921	1622
643	2924	1616
644	2928	1611
645	2931	1606
646	2936	1602
647	2940	1597
648	2943	1592
649	2947	1586
650	2951	1582
651	2955	1577
652	2958	1572
653	2962	1567
654	2966	1562
655	2971	1557
656	2974	1553
657	2979	1548
658	2983	1544
659	2987	1539
660	2992	1534
